time_period,location,rainfall_era5_lag1,rainfall_era5_lag2,rainfall_era5_lag3,rainfall_era5_lag4,rainfall_era5_lag5,rainfall_era5_lag6,mean_temperature_lag1,mean_temperature_lag2,relative_humidity_lag1,relative_humidity_lag2,relative_humidity_lag3,relative_humidity_lag4,loc_BzhJzdAGARk,loc_CSiOPKW1OQP,loc_EritxSJ4SVG,loc_Fczy0xwaJSy,loc_Gu5PQzqP3oc,irs_level,irs_decay,irs_since,irs_cumulative,tgt_lag1,tgt_lag2,tgt_lag3,_resid,in_mask
2019-06,BzhJzdAGARk,219.0955425262843,135.93961124525862,133.2982640806737,90.13424860610357,232.46996401123917,315.3858547861543,15.989198048608802,16.684601835304992,81.34517903851012,72.98295611509994,73.77854721947452,73.38125909747652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.510053848719348,6.574417094134397,6.701959582827597,0.27138167056604257,True
2019-06,CSiOPKW1OQP,104.91641875609855,43.24433920949086,41.05185185062514,52.016410312255545,68.53466516317886,91.34963636473887,20.194052630790065,20.88638327287169,74.65160506881193,66.77621042465375,61.86096763655324,62.73838406845736,0.0,1.0,0.0,0.0,0.0,0.0,0.21022410381342854,9.0,10.642900000000001,3.2606978269916262,3.278908199776221,3.124396459759544,-0.6094636813666581,True
2019-06,EritxSJ4SVG,95.4489496759815,43.17925107122343,60.54925128177222,62.21339977125189,73.24081896816263,84.95107758336964,21.548951511979,22.3650066929381,74.56910987184494,67.08738300202481,63.43584504527564,64.97077848594284,0.0,0.0,1.0,0.0,0.0,0.0,0.8408964152537145,1.0,1.0,7.85085909337723,8.381746495053177,8.28219679933796,-0.3365255639468847,True
2019-06,Fczy0xwaJSy,362.8481509868053,292.6105564249868,177.70777749142604,235.88663837776653,383.12418905307095,266.690978511655,13.702154240331089,13.694439545544355,83.634395813889,79.27229785602523,77.37989698207714,79.33017919684659,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,2.637130093438537,3.358550353430479,2.4890621367687022,0.22958099495202555,True
2019-06,Gu5PQzqP3oc,196.46481421840934,182.73868547206436,106.09110518239736,225.87296674302002,296.4509611047861,235.08591288924433,18.319690990126123,19.09449310963964,79.21568205855192,72.41386743754644,73.11486151852048,74.75295965442905,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,7.767454957089802,8.070403183457056,8.028774656809972,0.06874250900782108,True
2019-07,BzhJzdAGARk,246.75037721428484,219.0955425262843,135.93961124525862,133.2982640806737,90.13424860610357,232.46996401123917,15.999194899268398,15.989198048608802,82.54350506162687,81.34517903851012,72.98295611509994,73.77854721947452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.781435519285391,6.510053848719348,6.574417094134397,0.23427128333616665,True
2019-07,CSiOPKW1OQP,121.28574982414925,104.91641875609855,43.24433920949086,41.05185185062514,52.016410312255545,68.53466516317886,20.20745365752078,20.194052630790065,76.37180254929947,74.65160506881193,66.77621042465375,61.86096763655324,0.0,1.0,0.0,0.0,0.0,0.0,0.17677669529663678,10.0,10.642900000000001,2.651234145624968,3.2606978269916262,3.278908199776221,-0.5328524309166833,True
2019-07,EritxSJ4SVG,114.65873649517005,95.4489496759815,43.17925107122343,60.54925128177222,62.21339977125189,73.24081896816263,21.521805529962688,21.548951511979,75.7738900845115,74.56910987184494,67.08738300202481,63.43584504527564,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865475,2.0,1.0,7.604680713053208,7.85085909337723,8.381746495053177,-0.32545075434335313,True
2019-07,Fczy0xwaJSy,494.50317932102075,362.8481509868053,292.6105564249868,177.70777749142604,235.88663837776653,383.12418905307095,13.570770622540378,13.702154240331089,87.51191273783041,83.634395813889,79.27229785602523,77.37989698207714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,2.711491346836214,2.637130093438537,3.358550353430479,-0.033935765231574155,True
2019-07,Gu5PQzqP3oc,272.35300811919814,196.46481421840934,182.73868547206436,106.09110518239736,225.87296674302002,296.4509611047861,18.27183240885693,18.319690990126123,81.15843706993076,79.21568205855192,72.41386743754644,73.11486151852048,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,7.884375381977146,7.767454957089802,8.070403183457056,0.37998144035929826,True
